conv_layers,accuracy
"[(32, 3, 0), (64, 3, 0)]",0.9778000000000001
"[(64, 3, 0), (128, 3, 0)]",0.9814833333333334
"[(128, 3, 0), (256, 3, 0)]",0.9857333333333335
"[(256, 3, 0), (512, 3, 0)]",0.9867166666666667
"[(512, 3, 0), (1024, 3, 0)]",0.9870166666666668
"[(6, 3, 0), (16, 3, 0), (120, 3, 0)]",0.98685
"[(12, 3, 0), (32, 3, 0), (160, 3, 0)]",0.9886333333333335
"[(18, 3, 0), (48, 3, 0), (200, 3, 0)]",0.9896166666666667
"[(24, 3, 0), (64, 3, 0), (240, 3, 0)]",0.9902500000000001
"[(30, 3, 0), (80, 3, 0), (280, 3, 0)]",0.9906666666666668
"[(6, 3, 0), (16, 3, 0), (120, 5, 0)]",0.9883833333333335
"[(12, 3, 0), (32, 3, 0), (160, 5, 0)]",0.9894833333333334
"[(18, 3, 0), (48, 3, 0), (200, 5, 0)]",0.9901666666666668
"[(24, 3, 0), (64, 3, 0), (240, 5, 0)]",0.9902000000000001
"[(30, 3, 0), (80, 3, 0), (280, 5, 0)]",0.9907166666666667
"[(6, 3, 1), (16, 3, 1), (32, 3, 1), (120, 3, 0)]",0.9869166666666668
"[(12, 3, 1), (32, 3, 1), (64, 3, 1), (160, 3, 0)]",0.9895833333333334
"[(18, 3, 1), (48, 3, 1), (96, 3, 1), (200, 3, 0)]",0.9908333333333333
"[(24, 3, 1), (64, 3, 1), (128, 3, 1), (240, 3, 0)]",0.9912166666666669
"[(30, 3, 1), (80, 3, 1), (160, 3, 1), (280, 3, 0)]",0.9913000000000002
"[(32, 5, 0), (64, 5, 0)]",0.9837666666666668
"[(64, 5, 0), (128, 5, 0)]",0.9873500000000001
"[(128, 5, 0), (256, 5, 0)]",0.9882500000000002
"[(256, 5, 0), (512, 5, 0)]",0.9885833333333335
"[(512, 5, 0), (1024, 5, 0)]",0.9884833333333334
"[(6, 5, 2), (16, 5, 0), (120, 5, 0)]",0.9875166666666667
"[(12, 5, 2), (32, 5, 0), (160, 5, 0)]",0.9894666666666668
"[(18, 5, 2), (48, 5, 0), (200, 5, 0)]",0.9904000000000002
"[(24, 5, 2), (64, 5, 0), (240, 5, 0)]",0.9903000000000001
"[(30, 5, 2), (80, 5, 0), (280, 5, 0)]",0.9907166666666667
"[(6, 5, 2), (16, 5, 2), (32, 5, 2), (120, 3, 0)]",0.9875833333333334
"[(12, 5, 2), (32, 5, 2), (64, 5, 2), (160, 3, 0)]",0.9903000000000001
"[(18, 5, 2), (48, 5, 2), (96, 5, 2), (200, 3, 0)]",0.9905500000000002
"[(24, 5, 2), (64, 5, 2), (128, 5, 2), (240, 3, 0)]",0.9909666666666667
"[(30, 5, 2), (80, 5, 2), (160, 5, 2), (280, 3, 0)]",0.9909166666666667
"[(32, 7, 0), (64, 7, 0)]",0.9785833333333335
"[(64, 7, 0), (128, 7, 0)]",0.9831333333333333
"[(128, 7, 0), (256, 7, 0)]",0.9869
"[(256, 7, 0), (512, 7, 0)]",0.9877333333333334
"[(6, 7, 3), (16, 7, 3), (120, 7, 0)]",0.9864
"[(12, 7, 3), (32, 7, 3), (160, 7, 0)]",0.9890333333333334
"[(18, 7, 3), (48, 7, 3), (200, 7, 0)]",0.9895333333333335
"[(24, 7, 3), (64, 7, 3), (240, 7, 0)]",0.9896333333333334
"[(30, 7, 3), (80, 7, 3), (280, 7, 0)]",0.9899000000000001
"[(6, 7, 3), (16, 7, 3), (120, 7, 3)]",0.9879666666666668
"[(12, 7, 3), (32, 7, 3), (160, 7, 3)]",0.9897166666666667
"[(18, 7, 3), (48, 7, 3), (200, 7, 3)]",0.99015
"[(24, 7, 3), (64, 7, 3), (240, 7, 3)]",0.99015
"[(30, 7, 3), (80, 7, 3), (280, 7, 3)]",0.9900333333333334
"[(6, 7, 3), (16, 7, 3), (32, 7, 3), (120, 3, 0)]",0.9855166666666667
"[(12, 7, 3), (32, 7, 3), (64, 7, 3), (160, 3, 0)]",0.9897666666666668
"[(18, 7, 3), (48, 7, 3), (96, 7, 3), (200, 3, 0)]",0.9904999999999999
"[(24, 7, 3), (64, 7, 3), (128, 7, 3), (240, 3, 0)]",0.9905833333333334
"[(30, 7, 3), (80, 7, 3), (160, 7, 3), (280, 3, 0)]",0.9907666666666667
